Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,win_x86,win_x86-64,win_x86-64_cmprssptrs,linux_x86,linux_x86-64,linux_x86-64_cmprssptrs,linux_ppc,linux_ppc-64,linux_ppc-64_cmprssptrs,linux_ppc-64_le,linux_ppc-64_cmprssptrs_le,linux_390,linux_390-64,linux_390-64_cmprssptrs,aix_ppc,aix_ppc-64,aix_ppc-64_cmprssptrs,zos_390,zos_390-64,zos_390-64_cmprssptrs,linux_arm,osx_x86-64,osx_x86-64_cmprssptrs,bsd_x86-64_cmprssptrs,sunos_sparcv9-64_cmprssptrs,linux_aarch64,linux_aarch64_cmprssptrs,linux_riscv64,linux_riscv64_cmprssptrs
variation:Mode166,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
variation:Mode167,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
variation:Mode168,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
variation:Mode170,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode171,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode172,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode173,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode174,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode175,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
variation:Mode177,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode178,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode180,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode181,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode183,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode184,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode186,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode187,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no
variation:Mode190,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
variation:Mode191,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode192,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
variation:Mode193,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
variation:Mode194,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
variation:Mode195,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
variation:Mode198,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
variation:Mode199,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
variation:Mode200,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode201,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode202,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode203,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode204,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode205,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode206,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode300,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode301,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode303,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode304,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode305,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode306,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode307,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode350,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode351,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode353,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode354,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode355,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode356,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode357,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
variation:Mode400,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode401,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
variation:Mode500,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no
